epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1095.89,0.61185,0.38563,0.86157,0.79109,0.80548,0.82607,0.55312,1.21357,0.7859,1.22884,0.000297125,0.000297125,0.000297125
79,1109.79,0.6074,0.38167,0.85602,0.81048,0.77448,0.82598,0.55361,1.21611,0.79615,1.23451,0.00028475,0.00028475,0.00028475
80,1123.74,0.60216,0.38616,0.85699,0.78555,0.81908,0.83047,0.5583,1.19624,0.787,1.22673,0.000272375,0.000272375,0.000272375
81,1137.63,0.60326,0.38076,0.8588,0.80385,0.80169,0.83941,0.56199,1.20181,0.78033,1.22584,0.00026,0.00026,0.00026
82,1151.75,0.58848,0.3747,0.85691,0.82328,0.8049,0.83626,0.5633,1.21231,0.81201,1.22696,0.000247625,0.000247625,0.000247625
83,1165.79,0.58742,0.37561,0.85439,0.79575,0.81872,0.82973,0.56124,1.20232,0.79166,1.22576,0.00023525,0.00023525,0.00023525
84,1179.69,0.58133,0.37293,0.85246,0.81839,0.7822,0.82447,0.55464,1.21634,0.83398,1.23585,0.000222875,0.000222875,0.000222875
85,1193.7,0.58613,0.37116,0.85588,0.77018,0.82986,0.83122,0.55972,1.20299,0.7919,1.22986,0.0002105,0.0002105,0.0002105
86,1207.77,0.57149,0.36604,0.85501,0.7796,0.82967,0.83697,0.56125,1.209,0.79142,1.23384,0.000198125,0.000198125,0.000198125
87,1221.69,0.56467,0.36455,0.84836,0.79187,0.83859,0.83429,0.55981,1.19827,0.80549,1.225,0.00018575,0.00018575,0.00018575
88,1235.87,0.56683,0.36339,0.85236,0.77428,0.83327,0.83145,0.56191,1.20902,0.78448,1.23905,0.000173375,0.000173375,0.000173375
89,1249.78,0.55506,0.35733,0.84742,0.78537,0.81873,0.84002,0.56272,1.21303,0.78414,1.2435,0.000161,0.000161,0.000161
90,1263.75,0.55526,0.35734,0.84545,0.7897,0.81461,0.83319,0.56093,1.20487,0.78442,1.24132,0.000148625,0.000148625,0.000148625
91,1303.8,0.51158,0.32074,0.83452,0.7818,0.81768,0.81774,0.54392,1.20604,0.78302,1.24334,0.00013625,0.00013625,0.00013625
92,1317.27,0.49941,0.31196,0.83283,0.77013,0.82063,0.83627,0.55543,1.20828,0.78831,1.24287,0.000123875,0.000123875,0.000123875
93,1330.6,0.49611,0.31227,0.83142,0.80277,0.79406,0.83468,0.55713,1.21142,0.80861,1.24657,0.0001115,0.0001115,0.0001115
94,1343.82,0.48303,0.30418,0.82823,0.79891,0.78709,0.83572,0.5603,1.21206,0.79767,1.24977,9.9125e-05,9.9125e-05,9.9125e-05
95,1357.27,0.47911,0.30509,0.82348,0.78251,0.82037,0.832,0.55778,1.20404,0.80476,1.24406,8.675e-05,8.675e-05,8.675e-05
96,1370.83,0.46985,0.29844,0.82512,0.8418,0.76263,0.83336,0.55749,1.21005,0.78785,1.24795,7.4375e-05,7.4375e-05,7.4375e-05
97,1384.64,0.4659,0.298,0.82388,0.82345,0.77356,0.83384,0.56171,1.20733,0.79729,1.2495,6.2e-05,6.2e-05,6.2e-05
98,1398.03,0.46421,0.29817,0.82134,0.77105,0.81952,0.82871,0.55924,1.20942,0.80611,1.25009,4.9625e-05,4.9625e-05,4.9625e-05
99,1411.72,0.45623,0.2937,0.82081,0.7761,0.81841,0.83071,0.55938,1.20742,0.81231,1.24873,3.725e-05,3.725e-05,3.725e-05
100,1425.07,0.44755,0.29047,0.81724,0.78034,0.81992,0.82989,0.5603,1.20787,0.81097,1.2507,2.4875e-05,2.4875e-05,2.4875e-05
